剧名称,group_title,发弹幕时刻相对于视频起始时间偏移量,累计点赞数,弹幕内容
北往,第5集,87428,1,哈哈哈哈
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,21254,0,等了已经好多个月了，都不知道多久了。[捂脸][捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,131441,0,妈妈～
幸得相遇离婚时,第2集,64977,0,又要破产一个
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,58111,0,哈哈哈开始了
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,76221,0,啊啊啊啊陈添祥好帅[偷笑]
十八岁太奶奶驾到，重整家族荣耀第三部,第3集,163769,0,这个歌好雷霆[偷笑]
北往,第1集,235168,0,真喜欢这样的爸爸妈妈
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,191669,0,好搞笑，这句“我能不能不上学”，像极了幼儿园小班的
十八岁太奶奶驾到，重整家族荣耀第三部,第3集,96394,0,添添好帅[没看够]
那年冬至,第4集,41491,0,[笑哭][笑哭]
天下第一纨绔,第2集,41616,0,青楼侠[捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,175000,0,感觉樱宝可爱到发腻啊，老爷子都开始讨厌上大学了，不像我们小学
荒年全村啃树皮，我有系统满仓肉,第2集,119800,0,[爽][爽]
撕夜,第3集,124160,0,哇哦
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,159004,0,老年大学
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,94003,0,英宝来了。[笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部,第4集,79512,0,[笑哭]
北往,第5集,133215,0,[捂脸][捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部,第3集,57765,0,《七七四十九天》[捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部,第3集,70135,0,英宝:我信
那年冬至,第1集,17883,0,翅翅苏苏我来啦
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,77893,0,一个字，“帅”[爱慕][爱慕]
十八岁太奶奶驾到，重整家族荣耀第三部,第5集,59624,0,老大：ber，我是ATM吗？
十八岁太奶奶驾到，重整家族荣耀第三部,第3集,180276,0,我？？？
十八岁太奶奶驾到，重整家族荣耀第三部,第3集,245436,0,好可爱
十八岁太奶奶驾到，重整家族荣耀第三部,第3集,172666,0,[笑哭][笑哭][笑哭]
那年冬至,第1集,121108,0,给翅翅整不会了[笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,5737,0,啊啊啊啊啊[爱慕]
家里家外,第1集,25423,1,[送花]
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,19614,0,二刷
荒年全村啃树皮，我有系统满仓肉,第5集,28857,0,[马上有福]
幸得相遇离婚时,第4集,81460,0,女主像汤唯
北往,第2集,127074,0,闺蜜[笑哭]你小不要想了。她跟人家老公跑路了
那年冬至,第2集,46244,0,有点不像演的[笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,12723,0,家人们来回忆三了，过年不是要看四吗？我来回忆三
十八岁太奶奶驾到，重整家族荣耀第三部,第3集,125477,0,嘎嘣脆!
家里家外,第1集,68951,0,二刷
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,194145,0,哈哈哈
十八岁太奶奶驾到，重整家族荣耀第三部,第3集,103565,0,[赞][赞]
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,19668,0,四刷
那年冬至,第3集,77774,0,邓灵枢萌萌哒
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,1991,0,[偷笑][偷笑][偷笑]
天下第一纨绔,第3集,71708,0,捧杀，顾廷烨的后娘
家里家外,第3集,81735,2,[赞][赞][送花]
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,179796,0,有点像王鹤棣哎
幸得相遇离婚时,第3集,77099,0,这么多年咋不去追呢？
家里家外,第2集,127762,2,有意思
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,168179,0,这个兵哥哥也很帅啊
天下第一纨绔,第1集,207870,0,大哥你一个皇帝进青楼，你好意思说人家纨绔。
那年冬至,第4集,38744,0,哈哈哈哈，被气有活力
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,204066,0,惊不惊喜[捂脸]意不意外[捂脸]
家里家外,第2集,106685,1,有点意思[捂脸]
北往,第1集,131662,0,还有苁蓉烟呢？
十八岁太奶奶驾到，重整家族荣耀第三部,第4集,104488,0,[吐][吐][吐][吐]
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,174944,0,这兵哥哥有点眼熟啊
